INFO  - 2017-11-13 10:28:25.357; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-11-13 10:28:25.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-13 10:28:25.358; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-11-13 10:28:25.358; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-13 10:28:25.358; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-11-13 10:28:25.387; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-13 10:28:25.392; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-13 10:28:25.394; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-13 10:28:25.399; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-13 10:28:25.404; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-13 10:28:25.424; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-11-13 10:28:25.424; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-11-13 10:28:25.430; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-11-13 10:28:25.430; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-11-13 10:28:25.447; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2df373fa[collection1] main
INFO  - 2017-11-13 10:28:25.457; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.458; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2017-11-13 10:28:25.460; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.472; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.474; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
